1~0 layer, 22 bit : coffee_mug (86.16%)
1~1 layer, 22 bit : coffee_mug (83.03%)
1~2 layer, 22 bit : coffee_mug (80.15%)
1~3 layer, 22 bit : coffee_mug (76.67%)
1~4 layer, 22 bit : coffee_mug (73.96%)
1~5 layer, 22 bit : coffee_mug (70.89%)
1~6 layer, 22 bit : coffee_mug (67.66%)
1~7 layer, 22 bit : coffee_mug (64.67%)
1~8 layer, 22 bit : coffee_mug (61.12%)
1~9 layer, 22 bit : coffee_mug (56.84%)

0 layer, 22 bit : coffee_mug (86.16%)
1 layer, 22 bit : coffee_mug (83.03%)
2 layer, 21 bit : coffee_mug (81.56%)
3 layer, 21 bit : coffee_mug (80.32%)
4 layer, 21 bit : coffee_mug (79.27%)
5 layer, 21 bit : coffee_mug (77.72%)
6 layer, 21 bit : coffee_mug (76.08%)
7 layer, 21 bit : coffee_mug (74.54%)
8 layer, 21 bit : coffee_mug (72.99%)
9 layer, 21 bit : coffee_mug (71.32%)
10 layer, 21 bit : coffee_mug (69.72%)
11 layer, 21 bit : coffee_mug (68.54%)

0~0 layer, 22 bit : coffee_mug (86.16%)
0~1 layer, 21 bit : coffee_mug (84.59%)
0~2 layer, 20 bit : coffee_mug (84.12%)
0~3 layer, 20 bit : coffee_mug (83.47%)
0~4 layer, 20 bit : coffee_mug (82.70%)
0~5 layer, 20 bit : coffee_mug (82.18%)
0~6 layer, 20 bit : coffee_mug (81.46%)
0~7 layer, 20 bit : coffee_mug (80.69%)
0~8 layer, 20 bit : coffee_mug (79.91%)
0~9 layer, 20 bit : coffee_mug (79.22%)
0~10 layer, 20 bit : coffee_mug (78.42%)
0~11 layer, 20 bit : coffee_mug (77.70%)
0~12 layer, 20 bit : coffee_mug (76.83%)
0~13 layer, 20 bit : coffee_mug (75.81%)
0~14 layer, 20 bit : coffee_mug (75.09%)
0~15 layer, 20 bit : coffee_mug (73.11%)

0~0 layer, 22 bit : coffee_mug (86.16%)
0~1 layer, 21 bit : coffee_mug (84.59%)
0~2 layer, 20 bit : coffee_mug (84.12%)
0~3 layer, 22 bit : coffee_mug (80.98%)
0~4 layer, 20 bit : coffee_mug (80.26%)
0~5 layer, 20 bit : coffee_mug (79.68%)
0~6 layer, 20 bit : coffee_mug (78.87%)
0~7 layer, 20 bit : coffee_mug (78.06%)
0~8 layer, 20 bit : coffee_mug (77.25%)

0~0 layer, 22 bit : coffee_mug (86.16%)
0~1 layer, 16 bit : coffee_mug (86.11%)
0~2 layer, 20 bit : coffee_mug (85.58%)
0~3 layer, 20 bit : coffee_mug (84.90%)
0~4 layer, 20 bit : coffee_mug (84.15%)
0~5 layer, 20 bit : coffee_mug (83.57%)
0~6 layer, 20 bit : coffee_mug (82.84%)
0~7 layer, 20 bit : coffee_mug (82.15%)
0~8 layer, 20 bit : coffee_mug (81.44%)
0~9 layer, 20 bit : coffee_mug (80.70%)

0~0 layer, 21 bit : coffee_mug (89.57%)
0~1 layer, 16 bit : coffee_mug (89.53%)
0~2 layer, 17 bit : coffee_mug (89.45%)
0~3 layer, 17 bit : coffee_mug (89.38%)
0~4 layer, 20 bit : coffee_mug (88.67%)
0~5 layer, 20 bit : coffee_mug (88.15%)
0~6 layer, 20 bit : coffee_mug (87.52%)
0~7 layer, 20 bit : coffee_mug (86.88%)
0~8 layer, 20 bit : coffee_mug (86.30%)
0~9 layer, 20 bit : coffee_mug (85.76%)
0~10 layer, 20 bit : coffee_mug (85.11%)
0~11 layer, 20 bit : coffee_mug (84.62%)

0~0 layer, 21 bit : coffee_mug (89.57%)
0~1 layer, 16 bit : coffee_mug (89.53%)
0~2 layer, 17 bit : coffee_mug (89.45%)
0~3 layer, 17 bit : coffee_mug (89.38%)
0~4 layer, 2 bit : coffee_mug (89.38%)
0~5 layer, 22 bit : coffee_mug (87.07%)
0~6 layer, 20 bit : coffee_mug (86.46%)
0~7 layer, 20 bit : coffee_mug (85.85%)
0~8 layer, 20 bit : coffee_mug (85.24%)

0~0 layer, 21 bit : coffee_mug (89.57%)
0~1 layer, 16 bit : coffee_mug (89.53%)
0~2 layer, 17 bit : coffee_mug (89.45%)
0~3 layer, 17 bit : coffee_mug (89.38%)
0~4 layer, 17 bit : coffee_mug (89.29%)
0~5 layer, 18 bit : coffee_mug (89.11%)
0~6 layer, 20 bit : coffee_mug (88.48%)
0~7 layer, 20 bit : coffee_mug (87.86%)
0~8 layer, 20 bit : coffee_mug (87.24%)
0~9 layer, 20 bit : coffee_mug (86.67%)
0~10 layer, 20 bit : coffee_mug (86.04%)
0~11 layer, 20 bit : coffee_mug (85.56%)

0~0 layer, 21 bit : coffee_mug (89.57%)
0~1 layer, 18 bit : coffee_mug (89.43%)
0~2 layer, 18 bit : coffee_mug (89.31%)
0~3 layer, 18 bit : coffee_mug (89.13%)
0~4 layer, 18 bit : coffee_mug (88.98%)
0~5 layer, 18 bit : coffee_mug (88.80%)
0~6 layer, 20 bit : coffee_mug (88.18%)
0~7 layer, 20 bit : coffee_mug (87.56%)
0~8 layer, 20 bit : coffee_mug (86.94%)
0~9 layer, 20 bit : coffee_mug (86.39%)

0~0 layer, 21 bit : coffee_mug (89.57%)
0~1 layer, 16 bit : coffee_mug (89.53%)
0~2 layer, 17 bit : coffee_mug (89.45%)
0~3 layer, 17 bit : coffee_mug (89.38%)
0~4 layer, 17 bit : coffee_mug (89.29%)
0~5 layer, 17 bit : coffee_mug (89.20%)
0~6 layer, 17 bit : coffee_mug (89.12%)
0~7 layer, 17 bit : coffee_mug (89.04%)
0~8 layer, 17 bit : coffee_mug (88.96%)
0~9 layer, 17 bit : coffee_mug (88.89%)
0~10 layer, 17 bit : coffee_mug (88.80%)
0~11 layer, 17 bit : coffee_mug (88.72%)
0~12 layer, 17 bit : coffee_mug (88.63%)
0~13 layer, 17 bit : coffee_mug (88.54%)
0~14 layer, 17 bit : coffee_mug (88.45%)
0~15 layer, 17 bit : coffee_mug (88.25%)

0~0 layer, 21 bit : coffee_mug (89.57%)
0~1 layer, 16 bit : coffee_mug (89.53%)
0~2 layer, 17 bit : coffee_mug (89.45%)
0~3 layer, 17 bit : coffee_mug (89.38%)
0~4 layer, 17 bit : coffee_mug (89.29%)
0~5 layer, 17 bit : coffee_mug (89.20%)
0~6 layer, 17 bit : coffee_mug (89.12%)
0~7 layer, 17 bit : coffee_mug (89.04%)
0~8 layer, 17 bit : coffee_mug (88.96%)
0~9 layer, 17 bit : coffee_mug (88.89%)
0~10 layer, 17 bit : coffee_mug (88.80%)
0~11 layer, 17 bit : coffee_mug (88.72%)
0~12 layer, 17 bit : coffee_mug (88.63%)
0~13 layer, 17 bit : coffee_mug (88.54%)
0~14 layer, 17 bit : coffee_mug (88.45%)

0~0 layer, 21 bit : coffee_mug (89.57%) cup (5.87%) coffeepot (1.57%)
0~1 layer, 16 bit : coffee_mug (89.53%) cup (5.88%) coffeepot (1.58%)
0~2 layer, 17 bit : coffee_mug (89.45%) cup (5.91%) coffeepot (1.59%)
0~3 layer, 17 bit : coffee_mug (89.38%) cup (5.91%) coffeepot (1.61%)
0~4 layer, 17 bit : coffee_mug (89.29%) cup (5.94%) coffeepot (1.62%)
0~5 layer, 17 bit : coffee_mug (89.20%) cup (5.96%) coffeepot (1.64%)
0~6 layer, 17 bit : coffee_mug (89.12%) cup (5.98%) coffeepot (1.65%)
0~7 layer, 17 bit : coffee_mug (89.04%) cup (6.01%) coffeepot (1.66%)
0~8 layer, 17 bit : coffee_mug (88.96%) cup (6.03%) coffeepot (1.68%)
0~9 layer, 17 bit : coffee_mug (88.89%) cup (6.05%) coffeepot (1.69%)
0~10 layer, 17 bit : coffee_mug (88.80%) cup (6.07%) coffeepot (1.71%)
0~11 layer, 17 bit : coffee_mug (88.72%) cup (6.09%) coffeepot (1.72%)
0~12 layer, 17 bit : coffee_mug (88.63%) cup (6.11%) coffeepot (1.73%)
0~13 layer, 17 bit : coffee_mug (88.54%) cup (6.12%) coffeepot (1.75%)

0~0 layer, bitwiseAnd_21 bit : coffee_mug (89.57%) cup (5.87%) coffeepot (1.57%)
0~1 layer, bitwiseAnd_16 bit : coffee_mug (89.53%) cup (5.88%) coffeepot (1.58%)
0~2 layer, bitwiseAnd_17 bit : coffee_mug (89.45%) cup (5.91%) coffeepot (1.59%)
0~3 layer, bitwiseAnd_17 bit : coffee_mug (89.38%) cup (5.91%) coffeepot (1.61%)
0~4 layer, bitwiseAnd_17 bit : coffee_mug (89.29%) cup (5.94%) coffeepot (1.62%)
0~5 layer, bitwiseAnd_17 bit : coffee_mug (89.20%) cup (5.96%) coffeepot (1.64%)
0~6 layer, bitwiseAnd_17 bit : coffee_mug (89.12%) cup (5.98%) coffeepot (1.65%)
0~7 layer, bitwiseAnd_17 bit : coffee_mug (89.04%) cup (6.01%) coffeepot (1.66%)
0~8 layer, bitwiseAnd_17 bit : coffee_mug (88.96%) cup (6.03%) coffeepot (1.68%)
0~9 layer, bitwiseAnd_17 bit : coffee_mug (88.89%) cup (6.05%) coffeepot (1.69%)
0~10 layer, bitwiseAnd_17 bit : coffee_mug (88.80%) cup (6.07%) coffeepot (1.71%)
0~11 layer, bitwiseAnd_17 bit : coffee_mug (88.72%) cup (6.09%) coffeepot (1.72%)
0~12 layer, bitwiseAnd_17 bit : coffee_mug (88.63%) cup (6.11%) coffeepot (1.73%)
0~13 layer, bitwiseAnd_17 bit : coffee_mug (88.54%) cup (6.12%) coffeepot (1.75%)
0~14 layer, bitwiseAnd_17 bit : coffee_mug (88.45%) cup (6.15%) coffeepot (1.77%)
0~15 layer, bitwiseAnd_17 bit : coffee_mug (88.25%) cup (6.22%) coffeepot (1.80%)
0~16 layer, bitwiseAnd_17 bit : coffee_mug (88.11%) cup (6.26%) coffeepot (1.83%)
0~17 layer, bitwiseAnd_17 bit : coffee_mug (87.91%) cup (6.33%) coffeepot (1.86%)
0~18 layer, bitwiseAnd_22 bit : coffee_mug (79.67%) cup (9.77%) coffeepot (2.89%)

0~0 layer, fix8 bit : mosquito_net (5.39%) toilet_tissue (2.77%) envelope (2.66%)
0~1 layer, bitwiseAnd_16 bit : mosquito_net (5.40%) toilet_tissue (2.77%) envelope (2.66%)
0~2 layer, bitwiseAnd_17 bit : mosquito_net (5.40%) toilet_tissue (2.77%) envelope (2.66%)
0~3 layer, bitwiseAnd_17 bit : mosquito_net (5.42%) toilet_tissue (2.77%) envelope (2.65%)
0~4 layer, bitwiseAnd_17 bit : mosquito_net (5.44%) toilet_tissue (2.77%) envelope (2.65%)
0~5 layer, bitwiseAnd_17 bit : mosquito_net (5.46%) toilet_tissue (2.78%) envelope (2.64%)
0~6 layer, bitwiseAnd_17 bit : mosquito_net (5.48%) toilet_tissue (2.78%) envelope (2.64%)
0~7 layer, bitwiseAnd_17 bit : mosquito_net (5.49%) toilet_tissue (2.79%) envelope (2.63%)
0~8 layer, bitwiseAnd_17 bit : mosquito_net (5.51%) toilet_tissue (2.79%) envelope (2.63%)
0~9 layer, bitwiseAnd_17 bit : mosquito_net (5.53%) toilet_tissue (2.80%) envelope (2.63%)
0~10 layer, bitwiseAnd_17 bit : mosquito_net (5.55%) toilet_tissue (2.80%) envelope (2.62%)
0~11 layer, bitwiseAnd_17 bit : mosquito_net (5.57%) toilet_tissue (2.81%) envelope (2.62%)
0~12 layer, bitwiseAnd_17 bit : mosquito_net (5.59%) toilet_tissue (2.81%) envelope (2.61%)
0~13 layer, bitwiseAnd_17 bit : mosquito_net (5.63%) toilet_tissue (2.82%) envelope (2.61%)
0~14 layer, bitwiseAnd_17 bit : mosquito_net (5.64%) toilet_tissue (2.80%) envelope (2.61%)
0~15 layer, bitwiseAnd_17 bit : mosquito_net (5.59%) toilet_tissue (2.78%) envelope (2.61%)
0~16 layer, bitwiseAnd_17 bit : mosquito_net (5.55%) toilet_tissue (2.76%) envelope (2.60%)
0~17 layer, bitwiseAnd_17 bit : mosquito_net (5.46%) toilet_tissue (2.73%) envelope (2.57%)
0~18 layer, bitwiseAnd_22 bit : mosquito_net (3.22%) toilet_tissue (1.91%) envelope (1.77%)
0~0 layer, bitwiseAnd_21 bit : coffee_mug (89.57%) cup (5.87%) coffeepot (1.57%)
0~1 layer, fix8 bit : mosquito_net (6.75%) toilet_tissue (2.53%) shower_curtain (2.16%)
0~2 layer, bitwiseAnd_17 bit : mosquito_net (6.75%) toilet_tissue (2.53%) shower_curtain (2.16%)
0~3 layer, bitwiseAnd_17 bit : mosquito_net (6.76%) toilet_tissue (2.53%) shower_curtain (2.16%)
0~4 layer, bitwiseAnd_17 bit : mosquito_net (6.77%) toilet_tissue (2.54%) shower_curtain (2.16%)
0~5 layer, bitwiseAnd_17 bit : mosquito_net (6.78%) toilet_tissue (2.54%) shower_curtain (2.16%)
0~6 layer, bitwiseAnd_17 bit : mosquito_net (6.80%) toilet_tissue (2.54%) shower_curtain (2.17%)
0~7 layer, bitwiseAnd_17 bit : mosquito_net (6.81%) toilet_tissue (2.55%) shower_curtain (2.17%)
0~8 layer, bitwiseAnd_17 bit : mosquito_net (6.82%) toilet_tissue (2.55%) shower_curtain (2.17%)
0~9 layer, bitwiseAnd_17 bit : mosquito_net (6.84%) toilet_tissue (2.55%) shower_curtain (2.17%)
0~10 layer, bitwiseAnd_17 bit : mosquito_net (6.85%) toilet_tissue (2.56%) shower_curtain (2.17%)
0~11 layer, bitwiseAnd_17 bit : mosquito_net (6.87%) toilet_tissue (2.56%) shower_curtain (2.17%)
0~12 layer, bitwiseAnd_17 bit : mosquito_net (6.89%) toilet_tissue (2.56%) shower_curtain (2.18%)
0~13 layer, bitwiseAnd_17 bit : mosquito_net (6.93%) toilet_tissue (2.57%) shower_curtain (2.18%)


0~0 layer, fix8 bit : mosquito_net (5.39%) toilet_tissue (2.77%) envelope (2.66%)
0~1 layer, bitwiseAnd_16 bit : mosquito_net (5.40%) toilet_tissue (2.77%) envelope (2.66%)
0~2 layer, bitwiseAnd_17 bit : mosquito_net (5.40%) toilet_tissue (2.77%) envelope (2.66%)
0~3 layer, bitwiseAnd_17 bit : mosquito_net (5.42%) toilet_tissue (2.77%) envelope (2.65%)
0~4 layer, bitwiseAnd_17 bit : mosquito_net (5.44%) toilet_tissue (2.77%) envelope (2.65%)
0~5 layer, bitwiseAnd_17 bit : mosquito_net (5.46%) toilet_tissue (2.78%) envelope (2.64%)
0~6 layer, bitwiseAnd_17 bit : mosquito_net (5.48%) toilet_tissue (2.78%) envelope (2.64%)
0~7 layer, bitwiseAnd_17 bit : mosquito_net (5.49%) toilet_tissue (2.79%) envelope (2.63%)
0~8 layer, bitwiseAnd_17 bit : mosquito_net (5.51%) toilet_tissue (2.79%) envelope (2.63%)
0~9 layer, bitwiseAnd_17 bit : mosquito_net (5.53%) toilet_tissue (2.80%) envelope (2.63%)
0~10 layer, bitwiseAnd_17 bit : mosquito_net (5.55%) toilet_tissue (2.80%) envelope (2.62%)
0~11 layer, bitwiseAnd_17 bit : mosquito_net (5.57%) toilet_tissue (2.81%) envelope (2.62%)
0~12 layer, bitwiseAnd_17 bit : mosquito_net (5.59%) toilet_tissue (2.81%) envelope (2.61%)
0~13 layer, bitwiseAnd_17 bit : mosquito_net (5.63%) toilet_tissue (2.82%) envelope (2.61%)
